country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",09-07-2026 20:00,24.7955,84.9994,CO,12,12,12
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",09-07-2026 20:00,24.792403,84.992416,PM10,20,151,78
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",09-07-2026 20:00,24.792403,84.992416,NO2,11,13,12
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",09-07-2026 20:00,24.792403,84.992416,SO2,43,44,44
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",09-07-2026 20:00,24.762518,84.982348,PM2.5,17,35,27
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",09-07-2026 20:00,24.762518,84.982348,NO2,15,30,23
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",09-07-2026 20:00,25.560083,87.553265,PM2.5,2,17,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",09-07-2026 20:00,25.560083,87.553265,PM10,2,17,10
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",09-07-2026 20:00,25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",09-07-2026 20:00,25.560083,87.553265,OZONE,7,47,20
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",09-07-2026 20:00,26.0881305,87.93840336,PM10,49,88,63
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",09-07-2026 20:00,26.0881305,87.93840336,NH3,3,3,3
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",09-07-2026 20:00,26.0881305,87.93840336,OZONE,32,33,33
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",09-07-2026 20:00,27.308328,84.531742,SO2,16,18,17
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",09-07-2026 20:00,27.308328,84.531742,OZONE,29,32,31
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",09-07-2026 20:00,26.181742,91.78063,NH3,1,1,1
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",09-07-2026 20:00,26.181742,91.78063,SO2,37,49,41
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",09-07-2026 20:00,26.181742,91.78063,OZONE,16,51,27
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",09-07-2026 20:00,26.10887,91.589544,NH3,0,9,4
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",09-07-2026 20:00,26.1875,91.744194,PM2.5,2,500,263
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",09-07-2026 20:00,26.1875,91.744194,SO2,32,34,33
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",09-07-2026 20:00,26.349082,92.68449,PM2.5,47,75,59
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",09-07-2026 20:00,26.349082,92.68449,SO2,6,14,10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",09-07-2026 20:00,26.446912,91.439057,PM10,16,85,48
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",09-07-2026 20:00,26.446912,91.439057,NH3,6,6,6
India,Assam,Silchar,"Tarapur, Silchar - PCBA",09-07-2026 20:00,24.82827,92.79525,SO2,6,7,6
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",09-07-2026 20:00,26.987634,94.636574,CO,14,23,17
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",09-07-2026 20:00,26.146529,87.454184,CO,19,26,23
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",09-07-2026 20:00,26.146529,87.454184,OZONE,9,11,10
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",09-07-2026 20:00,25.42742023,86.13886079,PM10,6,104,43
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",09-07-2026 20:00,25.42742023,86.13886079,OZONE,39,41,40
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",09-07-2026 20:00,26.80365,84.51954,CO,31,49,39
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",09-07-2026 20:00,25.251013,86.989001,PM2.5,15,63,39
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",09-07-2026 20:00,25.251013,86.989001,PM10,12,432,75
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",09-07-2026 20:00,25.251013,86.989001,SO2,7,44,20
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",09-07-2026 20:00,25.265194,87.012947,CO,26,75,39
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",09-07-2026 20:00,25.204762,85.51496,OZONE,2,2,2
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",09-07-2026 20:00,25.56752,83.966379,NO2,9,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",09-07-2026 20:00,25.56752,83.966379,NH3,3,3,3
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",09-07-2026 20:00,25.7808257,84.7446768,PM2.5,47,72,57
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",09-07-2026 20:00,25.7808257,84.7446768,SO2,20,25,21
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",09-07-2026 20:00,25.7808257,84.7446768,CO,68,105,91
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",09-07-2026 20:00,30.735567,76.775714,NH3,7,19,12
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",09-07-2026 20:00,30.735567,76.775714,OZONE,3,10,6
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-07-2026 20:00,30.719859,76.738637,SO2,2,6,4
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",09-07-2026 20:00,21.194815,81.31477,CO,1,8,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",09-07-2026 20:00,22.118125,83.140608,PM10,16,74,38
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",09-07-2026 20:00,22.118125,83.140608,SO2,8,10,9
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",09-07-2026 20:00,22.118125,83.140608,CO,16,23,19
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",09-07-2026 20:00,22.348441,82.549611,NO2,5,7,6
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",09-07-2026 20:00,22.368195,82.746431,NO2,6,48,14
